"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element_type";"team";"dato";"navn";"posisjon";"team_navn"
1;"62022.jpg";"Lie";2745;"a";62022;"Andreas";"Lie";1;"";45;NA;NA;"1.2";"3.6";0;0;0;0;TRUE;1;6,3;"5.3";237;762;32;430;0;0;0;0;16;11;"5.3";"5.0";"5.0";FALSE;270;0;0;0;7;1;0;0;0;15;3;0;1;1;2017-04-11;"Andreas Lie";"Keeper";"AAFK"
2;"124186.jpg";"Vestly Heigre";2745;"a";124186;"Pål";"Vestly Heigre";23;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;0,5;"0.0";62;6;14;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2017-04-11;"Pål Vestly Heigre";"Keeper";"AAFK"
3;"218658.jpg";"Sødergren";2745;"a";218658;"Sondre";"Sødergren";32;"";40;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;3,6;"0.0";140;37;35;4;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2017-04-11;"Sondre Sødergren";"Keeper";"AAFK"
4;"52335.jpg";"Ramsteijn";2745;"a";52335;"Kaj";"Ramsteijn";6;"";50;NA;NA;"0.3";"1.0";0;0;0;0;FALSE;0;1,5;"1.7";183;16;26;4;0;0;0;0;5;3;"1.7";"2.0";"2.0";FALSE;270;0;0;0;7;0;0;0;0;0;1;0;2;1;2017-04-11;"Kaj Ramsteijn";"Forsvar";"AAFK"
5;"64033.jpg";"Lie";2745;"a";64033;"Oddbjørn";"Lie";5;"";45;NA;NA;"0.2";"0.4";0;0;0;0;FALSE;0;1,8;"0.7";214;21;29;1;0;0;0;0;2;1;"0.7";"1.0";"1.0";FALSE;216;0;0;0;6;0;0;1;0;0;0;0;2;1;2017-04-11;"Oddbjørn Lie";"Forsvar";"AAFK"
6;"79464.jpg";"Kirkeskov";2745;"a";79464;"Mikkel";"Kirkeskov";2;"";54;NA;NA;"0.4";"1.3";-1;-1;1;1;FALSE;0;2,6;"2.3";421;29;52;8;0;0;0;0;7;5;"2.3";"2.0";"2.0";FALSE;270;0;1;0;7;0;0;0;0;0;0;0;2;1;2017-04-11;"Mikkel Kirkeskov";"Forsvar";"AAFK"
7;"98652.jpg";"Mäntylä";2745;"a";98652;"Tero";"Mäntylä";4;"";44;NA;NA;"0.0";"0.0";-1;-1;1;1;FALSE;0;0,4;"0.0";74;3;8;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2017-04-11;"Tero Mäntylä";"Forsvar";"AAFK"
8;"115929.jpg";"Arnarson";2745;"a";115929;"Adam";"Arnarson";22;"";45;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;1,1;"0.0";158;3;30;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;117;0;0;0;5;0;0;1;0;0;0;0;2;1;2017-04-11;"Adam Arnarson";"Forsvar";"AAFK"
9;"115978.jpg";"Grétarsson";2745;"a";115978;"Daníel";"Grétarsson";3;"";49;NA;NA;"0.1";"0.2";-1;0;1;0;FALSE;0;0,7;"0.3";177;5;21;0;0;0;0;0;1;1;"0.5";"0.0";"0.0";FALSE;99;0;0;0;3;0;0;0;0;0;0;0;2;1;2017-04-11;"Daníel Grétarsson";"Forsvar";"AAFK"
10;"206921.jpg";"Barstad";2745;"a";206921;"Joakim";"Barstad";37;"";40;NA;NA;"0.0";"0.0";0;0;0;0;FALSE;0;3,7;"0.0";383;35;75;1;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2017-04-11;"Joakim Barstad";"Forsvar";"AAFK"
